Category,State Name,No. of Hostels,Capacity of Working Women,No. of Day Care Centres,Capacity of Children
State,Andhra Pradesh,39,2955,20,670
State,Arunachal Pradesh,13,706,5,130
State,Assam,14,799,5,79
State,Bihar,6,266,3,75
State,Chhattisgarh,10,486,3,60
State,Goa,2,120,0,0
State,Gujarat,26,1218,6,180
State,Haryana,20,1561,9,265
State,Himachal Pradesh,13,477,0,0
State,Jammu& Kashmir,5,360,2,35
State,Jharkhand,2,214,1,30
State,Karnataka,52,4753,19,470
State,Kerala,158,15119,92,2518
State,Madhya Pradesh,62,3438,12,371
State,Maharashtra,140,10623,49,1195
State,Manipur,22,1272,13,367
State,Meghalaya,3,214,1,15
State,Mizoram,4,149,0,0
State,Nagaland,20,1156,4,142
State,Orissa,29,1825,8,140
State,Punjab,14,1417,4,110
State,Rajasthan,39,1868,13,320
State,Sikkim,2,144,1,30
State,Tamil Nadu,96,6900,40,1052
State,Telangana,21,1427,5,220
State,Tripura,1,50,0,0
State,Uttar Pradesh,41,3190,16,494
State,Uttarakhand,7,538,2,90
State,West Bengal,38,2639,16,406
State,Total,899,65884,349,9464
Union Territory,Chandigarh,7,736,2,55
Union Territory,Delhi,20,3086,6,179
Union Territory,Pondicherry,4,221,0,0
Union Territory,Total,31,4043,8,234
All India Total,All India Total,930,69927,357,9698
Hotels in rented premises,Rajasthan,1,225,NA,NA
Hotels in rented premises,Maharashtra,3,8187,NA,NA
Total,Total,934,70139,357,9698
